"n","id","text","cons","com_f1","com_f2","crib_f1","crib_f2","dist_f1","dist_f2","fsc_f1","fsc_f2"
12,"sta_12","The Great Barrier Reef is at risk from climate change.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,3,-2
13,"sta_13","The threat of climate change is much worse than climate scientists originally thought.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,1,-3
14,"sta_14","Politicians who refuse to tackle climate change are just as bad as those who deny climate science.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,1,-2
15,"sta_15","The increased occurrence of extreme weather events is a clear sign that climate change is real.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,2,-2
16,"sta_16","Australian agriculture is thriving so climate change can't be real.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-3,2
17,"sta_17","Australia is experiencing more extreme weather and hotter days due to climate change.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,2,-1
18,"sta_18","Those who demand climate action are the usual ""torch-and-pitchfork"" crowd.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-2,2
19,"sta_19","Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,2,0
20,"sta_20","Climate sceptics, with no genuine expertise, cannot know better than climate scientists.",FALSE,"","","Not on Crib Sheet","Not on Crib Sheet",TRUE,TRUE,0,0
21,"sta_21","Climate change and human burning of fossil fuels are strongly linked.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,1,-1
22,"sta_22","People who deny the science of climate change should not hold public office.",FALSE,"","","Items Ranked Higher in this Factor Array than in Other Factor Arrays","Items Ranked Lower in this Factor Array than in Other Factor Arrays",TRUE,TRUE,0,-1
23,"sta_23","We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power.",FALSE,"","","Not on Crib Sheet","Not on Crib Sheet",TRUE,TRUE,0,0
24,"sta_24","No political party can say they have a climate change action plan when they favour coal, oil, and gas companies.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,0,1
25,"sta_25","We must start working together for real solutions on climate change.",FALSE,"","","Not on Crib Sheet","Not on Crib Sheet",TRUE,TRUE,1,1
26,"sta_26","It is shameful that climate change, the greatest problem of our time, is barely discussed in the media.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-1,0
27,"sta_27","Countries must fulfil their Paris Climate Agreement goals.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-1,1
28,"sta_28","Regardless of who is elected, the reality is that climate change is going to destroy everything.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-1,0
29,"sta_29","Oil and gas companies could not care less about climate change.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-1,2
30,"sta_30","Australian politicians need to wake up to the emergency of tackling climate change.",FALSE,"","","Items Ranked Lower in this Factor Array than in Other Factor Arrays","Items Ranked Higher in this Factor Array than in Other Factor Arrays",TRUE,TRUE,-1,1
